date_from,date_to,name,venue,country,category,discipline,calendar,class,email,website,logo
2023-04-01,2023-04-01,Gran Premio Miguel Indurain,,ESP,ME,Road,EUR,1.Pro,secretaria@clubciclistaestella.es; info@clubciclistaestella.es,www.clubciclistaestella.es,
2023-04-01,2023-04-06,The Princess Maha Chakri Sirindhorns Cup Tour of Thailand,,THA,ME,Road,ASI,2.1,taca1959@yahoo.com,www.thaicycling.or.th,
2023-04-02,2023-04-02,Trofeo Piva,,ITA,MU,Road,EUR,1.2U,segreteria@accolsanmartino.it,www.accolsanmartino.it,
2023-04-02,2023-04-02,Ronde van Vlaanderen - Tour des Flandres,,BEL,ME,Road,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.rondevanvlaanderen.be,
2023-04-02,2023-04-02,Ronde van Vlaanderen - Tour des Flandres,,BEL,WE,Road,MON,1.WWT,maja.leye@flandersclassics.be,www.rondevanvlaanderen.be,
2023-04-02,2023-04-02,34e Ronde van Oploo,Oploo,NED,WE,Road,EUR,CRTP,stichtingwielersportoploo@gmail.com,,
2023-04-03,2023-04-08,Itzulia Basque Country,,ESP,ME,Road,UWT,2.UWT,admon@oceta.eus,www.itzulia.eus,
2023-04-04,2023-04-07,Région Pays de la Loire Tour,,FRA,ME,Road,EUR,2.1,laurentbspdrouault@gmail.com; chesneaugr@orange.fr,En cours,
2023-04-05,2023-04-05,Scheldeprijs vrouwen elite,,BEL,WE,Road,EUR,1.1,INFO@SCHELDEPRIJS.BE,WWW.SCHELDEPRIJS.BE,
2023-04-05,2023-04-05,Scheldeprijs,,BEL,ME,Road,EUR,1.Pro,info@scheldeprijs.be,www.scheldeprijs.be,
2023-04-06,2023-04-09,Circuit des Ardennes,,FRA,ME,Road,EUR,2.2,circuitdesardennes@orange.fr,www.circuitdesardennes.fr,
2023-04-07,2023-04-10,Ster van Zuid Limburg,,BEL,MJ,Road,EUR,2.1,willy.vandooren@gmail.com,,
2023-04-08,2023-04-08,Giro di Primavera,,ITA,MJ,Road,EUR,1.1,sanvendemianocyclingteam@yahoo.com,www.sanvendemianocyclingteam.it,
2023-04-08,2023-04-08,Paris-Roubaix Femmes,,FRA,WE,Road,MON,1.WWT,tgouvenou@aso.fr,www.letour.fr,
2023-04-08,2023-04-10,"The Princess Maha Chakri Sirindhorns Cup ""Women's Tour of Thailand""",,THA,WE,Road,ASI,2.1,taca1959@yahoo.com,www.thaicycling.or.th,
2023-04-09,2023-04-09,Paris-Roubaix,,FRA,ME,Road,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr,
2023-04-09,2023-04-09,Paris - Roubaix Juniors,,FRA,MJ,Road,EUR,1.Ncup,veloclubroubaix@nordnet.fr,asso.nordnet.fr/veloclubroubaix/,
2023-04-10,2023-04-10,Giro del Belvedere,,ITA,MU,Road,EUR,1.2U,teams@probelvedere.it,www.girodelbelvedere.it,
2023-04-10,2023-04-10,Ronde de Mouscron,,BEL,WE,Road,EUR,1.1,jeanlucvdb@skynet.be,,
2023-04-11,2023-04-11,Paris - Camembert,,FRA,ME,Road,EUR,1.1,copc61@orange.fr,paris-camembert.ifrance.com,
2023-04-11,2023-04-11,G.P. Palio del Recioto - Trofeo C&F Resinatura Blocchi,,ITA,MU,Road,EUR,1.2U,teams@paliodelrecioto.com,www.paliodelrecioto.com,
2023-04-11,2023-04-14,Giro di Sicilia,,ITA,ME,Road,EUR,2.1,luca.papini@rcs.it ; natalino.ferrari@rcs.it,,
2023-04-12,2023-04-12,De Brabantse Pijl - La Flèche Brabançonne,,BEL,WE,Road,EUR,1.Pro,marc.vettori@rodesportief.be,www.debrabantsepijl.be/nl/dbp/elite-vrouwen,
2023-04-12,2023-04-12,De Brabantse Pijl - La Flèche Brabançonne,,BEL,ME,Road,EUR,1.Pro,marc.vettori@rodesportief.be,www.debrabantsepijl.be/nl/dbp/elite-mannen,
2023-04-12,2023-04-16,Tour du Loir et Cher,,FRA,ME,Road,EUR,2.2,tourduloiretcher@wanadoo.fr,www.tourduloiretcher.com,
2023-04-14,2023-04-14,Classic Grand Besançon Doubs,,FRA,ME,Road,EUR,1.1,classicgrandbesancon25@gmail.com,http://www.classicgrandbesancondoubs.com,
2023-04-14,2023-04-14,Elite Road Central American Championships - ME - ITT,,PAN,ME,Road,AME,1.2,info@fepaci.com.pa,https://fepaci.com.pa/,
2023-04-14,2023-04-14,Elite Road Central American Championships - MU - ITT,,PAN,MU,Road,AME,1.2U,info@fepaci.com.pa,https://fepaci.com.pa/,
2023-04-14,2023-04-14,Elite Road Central American Championships - WE - ITT,,PAN,WE,Road,AME,1.2,info@fepaci.com.pa,https://fepaci.com.pa/,
2023-04-14,2023-04-16,National Road Championships - Brazil (Juniors),,BRA,,Road,AME,CN,cbc@cbc.esp.br,www.cbc.esp.br,
2023-04-15,2023-04-15,Elite Road Central American Championships - MU - IRR,,PAN,MU,Road,AME,1.2U,info@fepaci.com.pa,https://fepaci.com.pa/,
2023-04-15,2023-04-15,Tour du Jura Cycliste,,FRA,ME,Road,EUR,1.1,laurent_monrolin@yahoo.fr,http://www.tourdujura.com/accueil-1-1.htm,
2023-04-15,2023-04-15,Liège-Bastogne-Liège,,BEL,MU,Road,EUR,1.2U,fernandlambertrlvb@hotmail.com,www.pesantliege2.be,
2023-04-15,2023-04-15,Arno Wallaard Memorial,,NED,ME,Road,EUR,1.2,info@arnowallaardmemorial.nl,www.arnowallaardmemorial.nl,
2023-04-15,2023-04-16,PENN AR BED - Pays d'Iroise,,FRA,MJ,Road,EUR,2.1,laurent.barbu29@gmail.com,www.copab-cyclisme.com,
2023-04-16,2023-04-16,Amstel Gold Race,,NED,ME,Road,UWT,1.UWT,info@amstelgoldrace.nl,www.amstelgoldrace.nl,
2023-04-16,2023-04-16,Amstel Gold Race Ladies Edition,,NED,WE,Road,MON,1.WWT,info@amstelgoldrace.nl,www.amstelgoldrace.com,
2023-04-16,2023-04-16,Giro della Città Metropolitana di Reggio Calabria,,ITA,ME,Road,EUR,1.1,protocollo@pec.cittametropolitana.rc.it,,
2023-04-16,2023-04-16,Tour du Doubs,,FRA,ME,Road,EUR,1.1,vcmorteaumontbenoit@orange.fr; fabienvarda@gmail.com,www.vcmm.fr,
2023-04-16,2023-04-16,Grand Prix Féminin de Chambéry,,FRA,WE,Road,EUR,1.1,organisation@chamberycyclisme.com,,
2023-04-16,2023-04-16,Tr. Città di S. Vendemiano - GP Industria & Commercio,,ITA,MU,Road,EUR,1.2U,veloclubsanvendemiano@yahoo.com - trofeocittadisanvendemiano@yahoo.com,www.veloclubsanvendemiano.it,
2023-04-16,2023-04-16,Elite Road Central American Championships - WE - IRR,,PAN,WE,Road,AME,1.2,info@fepaci.com.pa,https://fepaci.com.pa/,
2023-04-16,2023-04-16,Elite Road Central American Championships - ME - IRR,,PAN,ME,Road,AME,1.2,info@fepaci.com.pa,https://fepaci.com.pa/,
2023-04-17,2023-04-21,Tour of the Alps,,ITA,ME,Road,EUR,2.Pro,totahaus@gmail.com,www.tourofthealps.eu,
2023-04-18,2023-04-23,Road Continental Pan-Am Championships,,PAN,,Road,AME,CC,info@fepaci.com.pa,https://fepaci.com.pa/,
2023-04-19,2023-04-19,La Flèche Wallonne Féminine,,BEL,WE,Road,MON,1.WWT,fernandlambertrlvb@hotmail.com,http://www.letour.fr/la-fleche-wallonne-femme/,
2023-04-19,2023-04-19,La Flèche Wallonne,,BEL,ME,Road,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr,
2023-04-19,2023-04-22,Belgrade Banjaluka,,BIH,ME,Road,EUR,2.2,beogradbanjaluka@gmail.com,srpskacycling.com/belgrade-banjaluka/,
2023-04-20,2023-04-22,National Road Championships - Zimbabwe,,ZIM,,Road,AFR,CN,secretarygeneral@cyclingzimbabwe.org,www.cyclingzimbabwe.org,
2023-04-21,2023-04-22,Eroica Juniores - Nations' Cup,,ITA,MJ,Road,EUR,2.Ncup,f.bianchi@eroica.cc,,
2023-04-21,2023-04-23,"National Road Championships - Greece (U23, Juniors)",,GRE,,Road,EUR,CN,info@eop.cosmotemail.gr,https://hellenic-cycling.gr,
2023-04-21,2023-04-23,EPZ Omloop van Borsele,,NED,WJ,Road,EUR,2.Ncup,omloopvanborsele@kpnmail.nl,www.wielercomite-sheerenhoek.nl,
2023-04-22,2023-04-22,EPZ Omloop van Borsele,,NED,WE,Road,EUR,1.1,omloopvanborsele@kpnmail.nl,www.epzomloopvanborsele.nl,
2023-04-22,2023-04-23,Gipuzkoa Klasikoa,,ESP,MJ,Road,EUR,2.1,gtxe@gtxe.eus,www.gtxe.eus,
2023-04-23,2023-04-23,Rutland-Melton CiCLE Classic,,GBR,ME,Road,EUR,1.2,cicleclassics@gmail.com,www.cicleclassic.co.uk,
2023-04-23,2023-04-23,EPZ Omloop van Borsele,,NED,MJ,Road,EUR,1.1,omloopvanborsele@kpnmail.nl,www.wielercomite-sheerenhoek.nl,
2023-04-23,2023-04-23,Liège-Bastogne-Liège,,BEL,ME,Road,UWT,1.UWT,tgouvenou@aso.fr,www.letour.fr,
2023-04-23,2023-04-23,Liège-Bastogne-Liège Femmes,,BEL,WE,Road,MON,1.WWT,fernandlambertrlvb@hotmail.com,http://www.liege-bastogne-liege-femmes.com/,
2023-04-23,2023-04-23,Eroica Juniores - Coppa Andrea Meneghelli,,ITA,MJ,Road,EUR,1.1,f.bianchi@eroica.cc,,
2023-04-24,2023-04-24,Liberazione Juniores,,ITA,MJ,Road,EUR,1.1,JUNIORES@GPLIBERAZIONE.IT,www.gpliberazione.it,
2023-04-25,2023-04-25,GRAN PREMIO DELLA LIBERAZIONE,,ITA,WE,Road,EUR,1.2,teams@gpliberazione.it,www.gpliberazione.it,
2023-04-25,2023-04-25,Gran Premio della Liberazione,,ITA,MU,Road,EUR,1.2U,teams@gpliberazione.it,www.gpliberazione.it,
2023-04-25,2023-04-30,Tour de Romandie,,SUI,ME,Road,UWT,2.UWT,info@tourderomandie.ch,www.tourderomandie.ch,
2023-04-25,2023-05-01,Le Tour de Bretagne Cycliste,,FRA,ME,Road,EUR,2.2,cfossani@tourdebretagne.bzh,www.tourdebretagne.fr,
2023-04-26,2023-04-30,Tour of the Gila,,USA,WE,Road,AME,2.2,brennan5231@comcast.net,www.tourofthegila.com,
2023-04-26,2023-04-30,Tour of the Gila,,USA,ME,Road,AME,2.2,brennan5231@comcast.net,www.tourofthegila.com,
2023-04-27,2023-04-30,Gracia,,CZE,WE,Road,EUR,2.2,gracia.orlova@centrum.cz,www.graciaorlova.cz,
2023-04-28,2023-04-30,Vuelta Asturias Julio Alvarez Mendo,,ESP,ME,Road,EUR,2.1,asturias@lavueltaasturias.com,www.lavueltaasturias.com,
2023-04-28,2023-05-01,La Coupe du President de la Ville de Grudziądz,,POL,MJ,Road,EUR,2.1,biuro@alksstal.org,,
2023-04-29,2023-04-29,Leiedal Koerse,,BEL,WE,Road,EUR,1.2,info@leiedalkoerse.be,https://www.facebook.com/leiedalkoerse/,
2023-04-29,2023-04-29,E3 Saxo Classic,,BEL,MJ,Road,EUR,1.1,info@e3saxobankclassic.be,www.e3saxobankclassic.be,
2023-04-29,2023-04-29,4a reVolta,,ESP,WE,Road,EUR,1.1,volta@voltacatalunya.cat,https://www.voltacatalunya.cat/en/la-revolta,
2023-04-29,2023-04-30,Ceratizit Festival Elsy Jacobs,,LUX,WE,Road,EUR,2.Pro,info@elsy-jacobs.lu,www.elsy-jacobs.lu,
2023-04-29,2023-05-03,Carpathian Couriers Race in memory of Wacław Felczak,,POL,MU,Road,EUR,2.2U,office@carpathianrace.eu,www.carpathianrace.eu,
2023-04-30,2023-04-30,Grand Prix West Bohemia,,CZE,MJ,Road,EUR,1.1,kubias@rkca.cz,,
2023-04-30,2023-04-30,GP Vorarlberg p/b RadHaus Rankweil,,AUT,ME,Road,EUR,1.2,organisation@proevent-cycling.at,in process www.team-vorarlberg.at/gp-vorarlberg,
2023-05-01,2023-05-01,Eschborn-Frankfurt,,GER,ME,Road,UWT,1.UWT,office@gfr-cycling.de,www.eschborn-frankfurt.de/en/home/,
2023-05-01,2023-05-01,"National Road Championships - Belgium (U23, Juniors - ITT)",,BEL,,Road,EUR,CN,info@belgiancycling.be,,
2023-05-01,2023-05-01,Eschborn-Frankfurt,,GER,MU,Road,EUR,1.2U,u23@eschborn-frankfurt.de,https://www.eschborn-frankfurt.de/en/home/youthraces/u23-race,
2023-05-01,2023-05-01,Circuito del Porto - Trofeo Arvedi,,ITA,ME,Road,EUR,1.2,ccc1891@cccremonese1891.com,www.cccremonese1891.com,
2023-05-01,2023-05-07,Vuelta España Femenina,,ESP,WE,Road,MON,2.WWT,lavueltafemenina@unipublic.es,www.lavueltafemenina.es/es/,
2023-05-02,2023-05-06,ΔΕΗ INTERNATIONAL TOUR OF HELLAS,,GRE,ME,Road,EUR,2.1,cycling.tour.of.hellas@gmail.com,https://www.hellas-tour.gr/portal/en/,
2023-05-02,2023-05-06,Tour du Bénin,,BEN,ME,Road,AFR,2.2,federation229cyclisme@gmail.com,www.fbc.bj,
2023-05-04,2023-05-07,Tour de Catamarca Internacional,,ARG,ME,Road,AME,2.2,ariel.grun@hubtravel.com.ar,,
2023-05-04,2023-05-07,Course de la Paix Juniors,,CZE,MJ,Road,EUR,2.Ncup,svatopluk.henke@zmj.cz,http://zmj.cz,
2023-05-05,2023-05-05,La Classique Morbihan,,FRA,WE,Road,EUR,1.1,guy.seveno@gmail.com,www.gpmo.bzh,
2023-05-06,2023-05-06,Ronde van Overijssel,,NED,ME,Road,EUR,1.2,arnout@hurenkampba.nl,www.rondevanoverijssel.nl,
2023-05-06,2023-05-06,GP Eco-Struct/Thompson/Security Tools,,BEL,WE,Road,EUR,1.1,info@dewielkeszuigers.be,www.dewielkeszuigers.be,
2023-05-06,2023-05-06,Liège-Bastogne-Liège,,BEL,MJ,Road,EUR,1.1,fernandlambertrlvb@hotmail.com,www.pesantliege2.be,
2023-05-06,2023-05-06,Grand Prix du Morbihan,,FRA,ME,Road,EUR,1.Pro,guy.seveno@gmail.com,ww.gpmo.bzh,
2023-05-06,2023-05-06,Sundvolden GP,,NOR,ME,Road,EUR,1.2,ael@basm.no,www.rgp.no,
2023-05-06,2023-05-06,Grand Prix du Morbihan Femmes,,FRA,WE,Road,EUR,1.1,guy.seveno@gmail.com,www.gpmo.bzh,
2023-05-06,2023-05-07,Tour du Gévaudan Occitanie femmes,,FRA,WJ,Road,EUR,2.Ncup,tourdugevaudan@gmail.com,,
2023-05-06,2023-05-28,Giro d'Italia,,ITA,ME,Road,UWT,2.UWT,stefano.allocchio@rcs.it,www.giroditalia.it,
2023-05-07,2023-05-07,Ringerike GP,,NOR,ME,Road,EUR,1.2,ael@basm.no,www.rgp.no,
2023-05-07,2023-05-07,Grand Prix Bob Jungels,,LUX,MJ,Road,EUR,1.1,info@ucdippach.lu,www.ucdippach.lu/grand-prix-bob-jungels,
2023-05-07,2023-05-07,Paris-Roubaix Espoirs,,FRA,MU,Road,EUR,1.2U,veloclubroubaix@orange.fr,www.veloclubroubaix.fr,
2023-05-07,2023-05-07,Tro-Bro Léon,,FRA,ME,Road,EUR,1.Pro,jeanpaul.mellouet@orange.fr,www.trobroleon.com,
2023-05-07,2023-05-07,Trofee Maarten Wynants,,BEL,WE,Road,EUR,1.1,tim_wijnants@msn.com,www.prochallengehelchteren.be,
2023-05-07,2023-05-07,Flèche Ardennaise,,BEL,ME,Road,EUR,1.2,r_col@hotmail.com,www.fleche-ardennaise.be,
2023-05-07,2023-05-14,National Road Championships - El Salvador,,ESA,,Road,AME,CN,fsdeciclismo@gmail.com,www.fsc.org.sv,
2023-05-09,2023-05-13,Bretagne Ladies Tour CERATIZIT,,FRA,WE,Road,EUR,2.1,team@tbfo.bzh,www.tbfo.bzh,
2023-05-10,2023-05-10,The Tour OQTOSH - CHORVOQ - MOUNTAIN I,,UZB,ME,Road,ASI,1.2,info@cycling.uz,www.velosport.uz,
2023-05-10,2023-05-10,The Tour OQTOSH - CHORVOQ - MOUNTAIN Ladies I,,UZB,WE,Road,ASI,1.2,info@cycling.uz,www.velosport.uz,
2023-05-10,2023-05-10,Navarra Women's Elite classic,,ESP,WE,Road,EUR,1.Pro,miguel@vueltanavarra.com,,
2023-05-10,2023-05-14,Tour de Hongrie,,HUN,ME,Road,EUR,2.Pro,info@tdh.hu,www.tdh.hu,
2023-05-11,2023-05-11,The Tour OQTOSH - CHORVOQ - MOUNTAIN II,,UZB,ME,Road,ASI,1.2,uzbcycling@mail.ru,https://velosport.uz/,
2023-05-11,2023-05-11,The Tour OQTOSH - CHORVOQ - MOUNTAIN II Ladies,,UZB,WE,Road,ASI,1.2,uzbcycling@mail.ru,https://velosport.uz/,
2023-05-11,2023-05-14,Vuelta a Formosa Internacional,,ARG,ME,Road,AME,2.2,vueltaaformosa@gmail.com,,
2023-05-12,2023-05-13,South East Asian Games,,CAM,,Road,ASI,JR,cambodiacyclingfederation@gmail.com,,
2023-05-12,2023-05-14,Itzulia Women,,ESP,WE,Road,MON,2.WWT,admon@oceta.eus,itzulia-women.eus/en/itzulia/,
2023-05-12,2023-05-14,National Road Championships - Bolivia,,BOL,,Road,AME,CN,javierciclismo@hotmail.com,,
2023-05-13,2023-05-13,Tour of Bostonliq I,,UZB,ME,Road,ASI,1.2,info@cycling.uz,www.velosport.uz,
2023-05-13,2023-05-13,Tour of Bostonliq I Ladies,,UZB,WE,Road,ASI,1.2,info@cycling.uz,www.velosport.uz,
2023-05-13,2023-05-13,Grand Prix Herning,,DEN,ME,Road,EUR,1.2,bekfh@herning.dk,www.gpherning.dk,
2023-05-13,2023-05-13,Tour du Finistère,,FRA,ME,Road,EUR,1.1,tourdufinisterecycliste@gmail.com,www.tourdufinistere.fr,
2023-05-13,2023-05-14,Tour de Gironde International,,FRA,MJ,Road,EUR,2.1,usv-c1@orange.fr,www.tgironde.com,
2023-05-13,2023-05-14,National Road Championships - Cyprus,,CYP,,Road,EUR,CN,ccf@cytanet.com.cy,www.cypruscycling.org,
2023-05-14,2023-05-14,Tour of Bostonliq II,,UZB,ME,Road,ASI,1.2,info@cycling.uz,www.velosport.uz,
2023-05-14,2023-05-14,Tour of Bostonliq II Ladies,,UZB,WE,Road,ASI,1.2,info@cycling.uz,www.velosport.uz,
2023-05-14,2023-05-14,Boucles de l'Aulne - Châteaulin,,FRA,ME,Road,EUR,1.1,alain.legouill@yahoo.fr,www.bouclesdelaulne.com,
2023-05-14,2023-05-14,Fyn Rundt - Tour of Funen,,DEN,ME,Road,EUR,1.2,clausr@stofanet.dk,FYENRUNDT.COM,
2023-05-14,2023-05-14,Gran Premio Industrie del Marmo,,ITA,MU,Road,EUR,1.2U,ciclobruno@hotmail.com,http://gpm1mc.wordpress.com/,
2023-05-16,2023-05-16,Durango - Durango Emakumeen Saria,,ESP,WE,Road,EUR,1.1,info@duranguesa.com ; durangodurango@duranguesa.com,www.duranguesa.com,
2023-05-16,2023-05-21,4 Jours de Dunkerque / Grand Prix des Hauts de France,,FRA,ME,Road,EUR,2.Pro,quatrejoursdk@orange.fr; bmartel59@orange.fr,www.4joursdedunkerque.com,
2023-05-17,2023-05-20,Tour of Marand - Aras,,IRI,MJ,Road,ASI,2.1,ircyclingfed@gmail.com,http://www.cfi.ir,
2023-05-17,2023-05-20,Tour of Sakarya,,TUR,ME,Road,EUR,2.2,info@bisiklet.gov.tr,www.bisiklet.gov.tr,
2023-05-17,2023-05-21,Flèche du Sud,,LUX,ME,Road,EUR,2.2,vuesch@pt.lu,www.fleche-du-sud.lu,
2023-05-18,2023-05-18,Circuit de Wallonie,,BEL,ME,Road,EUR,1.1,francesco.lapaglia66@gmail.com,www.lecircuitdewallonie.be,
2023-05-18,2023-05-21,Walmart Joe Martin Stage Race,,USA,ME,Road,AME,2.2,bruce@allsportsproductionsinc.com,www.joemartinstagerace.com,
2023-05-18,2023-05-21,Walmart Joe Martin Stage Race,,USA,WE,Road,AME,2.2,bruce@allsportsproductionsinc.com,www.joemartinstagerace.com,
2023-05-18,2023-05-21,Vuelta a Burgos Feminas,,ESP,WE,Road,MON,2.WWT,vueltaburgos@diputaciondeburgos.es,www.vueltaburgos.com/feminas,
2023-05-19,2023-05-19,Veenendaal - Veenendaal Classic,,NED,WE,Road,EUR,1.1,hannekebouwmans@gmail.com,www.veenendaalveenendaal.nl,
2023-05-19,2023-05-21,SPIE Internationale Juniorendriedaagse,,NED,MJ,Road,EUR,2.1,info@juniorendriedaagse.nl,www.juniorendriedaagse.nl,
2023-05-20,2023-05-20,Veenendaal-Veenendaal Classic,,NED,ME,Road,EUR,1.1,hannekebouwmans@gmail.com,www.veenendaalveenendaal.nl,
2023-05-20,2023-05-20,ZLM Omloop der Kempen Ladies,,NED,WE,Road,EUR,1.2,cedric@omloopderkempen.nl,www.omloopderkempen.nl,
2023-05-20,2023-05-21,Trophée Centre Morbihan,,FRA,MJ,Road,EUR,2.Ncup,tropheecentremorbihan@orange.fr,www.tropheecentremorbihan.fr,
2023-05-21,2023-05-21,GP Gorenjska,,SLO,ME,Road,EUR,1.2,kzs@kolesarska-zveza.si,,
2023-05-21,2023-05-21,Rund um Köln,,GER,ME,Road,EUR,1.1,info@rundumkoeln.de,www.rundumkoeln.de,
2023-05-21,2023-05-21,Intenational Criterium in Sakai,,JPN,ME,Road,ASI,CRTP,info@toj-sakai.co.jp,,
2023-05-21,2023-05-21,Antwerp Port Epic Ladies,,BEL,WE,Road,EUR,1.1,secretariaat@karakterkoersen.be; koersgpsg@gmail.com,www.karakterkoersen.be,
2023-05-21,2023-05-21,Antwerp Port Epic / Sels Trophy,,BEL,ME,Road,EUR,1.1,secretariaat@karakterkoersen.be,www.karakterkoersen.be,
2023-05-21,2023-05-21,Ronde van Vlaanderen,,BEL,MJ,Road,EUR,1.1,brecht.toelen@flandersclassics.be ; bernard.duwyn@skynet.be,www.rondevanvlaanderen.be,
2023-05-21,2023-05-21,Ronde van Vlaanderen,,BEL,WJ,Road,EUR,1.1,brecht.toelen@flandersclassics.be ; bernard.duwyn@skynet.be,www.rondevanvlaanderen.be,
2023-05-21,2023-05-21,National Road Championships - Nigeria,,NGR,,Road,AFR,CN,gmassari@danelec-ltd.com; president@cfn.ng,www.cfn.ng,
2023-05-21,2023-05-28,Tour of Japan,,JPN,ME,Road,ASI,2.1,toj.team@gmail.com,www.toj.co.jp/,
2023-05-22,2023-05-26,Tour of Albania,,ALB,ME,Road,EUR,2.2,"info@albcycling.al, alfred.tahiraj@gmail.com",,
2023-05-23,2023-05-28,Internationale LOTTO Thüringen Ladies Tour,,GER,WE,Road,EUR,2.Pro,info@lottothueringen-ladies-tour.de,www.lottothueringen-ladies-tour.de,
2023-05-24,2023-05-28,Alpes Isère Tour,,FRA,ME,Road,EUR,2.2,m.baup@cotni.fr,www.alpesiseretour.com,
2023-05-24,2023-05-28,Orlen Nations Grand Prix,,POL,MU,Road,EUR,2.Ncup,SEKRETARIAT@LANGTEAM.COM.PL,www.orlennationsgrandprix.com,
2023-05-25,2023-05-28,Tour de Feminin,,CZE,WE,Road,EUR,2.2,info@tourdefeminin.com,www.tourdefeminin.com,
2023-05-25,2023-05-28,Boucles de la Mayenne - Crédit Mutuel,,FRA,ME,Road,EUR,2.Pro,pguesne@atmp53.fr,www.bouclesdelamayenne.fr,
2023-05-26,2023-05-26,Grand Prix du Prince Héritier Moulay El Hassan,,MAR,ME,Road,AFR,1.2,frmc56@gmail.com,www.frmcyclisme.ma,
2023-05-26,2023-05-27,Tour of Estonia,,EST,ME,Road,EUR,2.1,tartumaraton@tartumaraton.ee,www.tourofestonia.ee,
2023-05-26,2023-05-28,Tour de la Mirabelle,,FRA,ME,Road,EUR,2.2,lgoglione@yahoo.com,www.tour-de-la-mirabelle.com,
2023-05-26,2023-05-28,RideLondon Classique,,GBR,WE,Road,MON,2.WWT,womens.classique@londonmarathonevents.co.uk,www.ridelondon.co.uk,
2023-05-26,2023-05-28,National Road Championships - Panama,,PAN,,Road,AME,CN,info@fepaci.com.pa,https://fepaci.com.pa/,
2023-05-26,2023-05-28,National Road Championships - Panama (ME),,PAN,,Road,AME,CN,info@fepaci.com.pa,,
2023-05-26,2023-05-28,Grande Prémio Beiras e Serra da Estrela,,POR,ME,Road,EUR,2.2,amcb@amcb.pt,,
2023-05-26,2023-05-29,Tour of Norway,,NOR,ME,Road,EUR,2.Pro,roy@tourofnorway.no,www.tourofnorway.no,
2023-05-27,2023-05-27,Ladies Tour of Estonia,,EST,WE,Road,EUR,1.2,tartumaraton@tartumaraton.ee,www.tourofestonia.ee,
2023-05-27,2023-05-27,Van Merksteijn Fences Classic,,BEL,ME,Road,EUR,1.1,dannybonte@telenet.be,www.gpmarcelkint.be,
2023-05-27,2023-05-27,Due Giorni Marchigiana - G.P. Santa Rita,,ITA,ME,Road,EUR,1.2,cristina@cantarini-mec.it,,
2023-05-27,2023-05-27,Grand Prix du Trône,,MAR,ME,Road,AFR,1.2,frmc56@gmail.com,www.frmcyclisme.ma,
2023-05-27,2023-05-28,National Road Championships - Serbia (MU/WU),,SRB,,Road,EUR,CN,office@bss.rs; radomirpavlovicpatak@gmail.com,,
2023-05-28,2023-05-28,Due Giorni Marchigiana - Trofeo Città di Castelfidardo,,ITA,ME,Road,EUR,1.2,cristina@cantarini-mec.it,,
2023-05-28,2023-05-28,National Road Championships - Belgium (Junior - IRR),,BEL,,Road,EUR,CN,info@belgiancycling.be,,
2023-05-28,2023-05-28,Gran Premio Ciudad de Eibar,,ESP,WE,Road,EUR,1.1,clubciclistaeibarres@gmail.com,www.clubciclistaeibarres.org,
2023-05-28,2023-05-28,Grand Prix de la Famille Royale,,MAR,ME,Road,AFR,1.2,frmc56@gmail.com,www.frmcyclisme.ma,
2023-05-29,2023-05-29,Ronde van Limburg,,BEL,ME,Road,EUR,1.1,nicolas.denys@flandersclassics.be; maja.leye@flandersclassics.be,www.rondevanlimburg.be,
2023-05-29,2023-05-29,GP MAZDA SCHELKENS,,BEL,WE,Road,EUR,1.2,peter.van.hoof@telenet.be,,
2023-05-29,2023-05-29,Paris - Troyes,,FRA,ME,Road,EUR,1.2,florian.morizot@paris-troyes.com,www.paris-troyes.fr,
2023-05-29,2023-05-29,CYCLING STARS CRITERIUM – Conegliano,,ITA,ME,Road,EUR,CRTP,ORANGE.CARMIGNANO@GMAIL.COM,WWW.VENETOCYCLINGPROMOTION.IT,
2023-05-30,2023-05-30,WE LIKE BIKE CRITERIUM - SAN DANIELE DEL FRIULI,,ITA,ME,Road,EUR,CRTP,ORANGE.CARMIGNANO@GMAIL.COM,WWW.VENETOCYCLINGPROMOTION.IT,
2023-05-30,2023-05-30,Mercan'Tour Classic Alpes-Maritimes,,FRA,ME,Road,EUR,1.1,clubalpesazur@gmail.com,https://mercantourclassic.com/,
2023-05-31,2023-06-04,Vuelta Ciclista Andalucia Ruta Del Sol,,ESP,WE,Road,EUR,2.1,joaquin@deporinter.es,www.vueltaandaluciawomen.es,
2023-06-01,2023-06-04,Tour of Malopolska,,POL,ME,Road,EUR,2.2,marek.kosicki@mzkol.pl,WWW.TOUROFMALOPOLSKA.EU,
2023-06-01,2023-06-04,Oberösterreich Rundfahrt,,AUT,ME,Road,EUR,2.2,office@ooe-radsportverband.at,www.ooe-radsportverband.at,
2023-06-01,2023-06-04,Ronde de l'Oise,,FRA,ME,Road,EUR,2.2,michel_birck@live.fr,www.ronde-de-oise.fr,
2023-06-02,2023-06-02,TrofeoAlcide Degasperi,,ITA,ME,Road,EUR,1.2,usauroratrento@gmail.com,www.usaurora.altervista.org,
2023-06-02,2023-06-02,Giro dell'Appennino,,ITA,ME,Road,EUR,1.1,segreteria@uspontedecimo.it,www.uspontedecimo.it,
